directory,url,price_usd,submitted_on,status,live_listing_url,approved_on,referrals_30d,notes
"Findly Tools","https://findly.tools/",29,,,,,,
"StackShare","https://stackshare.io/",0,,,,,,
"Uneed","https://www.uneed.best/",14.99,,,,,,
"NoonLaunch","https://noonlaunch.com/",11,,,,,,
"ToolFame","https://toolfame.com/",14.99,,,,,,
"LaunchIgniter","https://launchigniter.com/",15,,,,,,
"PeerPush","https://peerpush.com/",39,,,,,,
"NickLaunches","https://nicklaunches.com/",19,,,,,,
"Startupbase","https://startupbase.io/",15,,,,,,
"TinyLaunch","https://www.tinylaunch.com/",39,,,,,,
"Open-Launch","https://open-launch.com/",12,,,,,,
"Startup Fast","https://www.startupfa.st/",19,,,,,,
"TinyShelf","https://www.tinyshelf.co/",19,,,,,,
"Tiny Startups","https://www.tinystartups.com/",49,,,,,,
"Launch Llama","https://tools.launchllama.co/",39,,,,,,
"MicroLaunch","https://microlaunch.net/",39,,,,,,
"IndieHunt","https://indiehunt.io",19,,,,,,
"LaunchVault","https://www.launchvault.dev/",9.99,,,,,,
"StartupTrusted","https://startuptrusted.com/",9,,,,,,
"Ramen.tools","https://ramen.tools/",0,,,,,,
"DevHub","https://devhub.best",9.9,,,,,,
"Shipyard HQ","https://shipyardhq.dev/",9.99,,,,,,
"Resource.fyi","https://resource.fyi",49,,,,,,
